"Time","Boost pressure","Engine oil pressure","Engine oil level","Engine oil level","Cam position","TAG"
"sec","mbar","bar","l","mm","deg."," "
50.77,1049.0000,2.4400,4.4290,55.1000,454.3800,""
51.12,1046.0000,2.4000,4.4290,55.1000,634.5000,""
51.50,1036.0000,2.3600,4.4290,55.1000,21.2500,""
51.87,1030.0000,2.3200,4.4290,53.4000,310.0600,""
52.18,1026.0000,2.3200,4.4290,53.4000,310.0600,""
52.54,1026.0000,2.3200,4.4290,53.4000,454.1900,""
52.88,1020.0000,2.2800,4.4290,51.9000,454.1900,""
53.23,1017.0000,2.2800,4.4290,51.9000,309.8800,""
53.55,1017.0000,2.2400,4.4290,52.0000,634.2500,""
53.95,1014.0000,2.2400,4.4290,52.0000,454.0600,""
54.29,1014.0000,2.2400,4.4290,52.0000,634.2500,""
54.62,1010.0000,2.2800,4.4290,53.1000,21.0000,""
54.99,1010.0000,2.2800,4.4290,53.1000,129.7500,""
55.33,1010.0000,2.2800,4.4290,53.1000,129.8800,""
55.69,1010.0000,2.3200,4.4290,55.5000,454.0000,""
56.01,1010.0000,2.3200,4.4290,55.5000,454.0600,""
56.40,1010.0000,2.3200,4.4290,55.5000,634.1900,""
56.77,1010.0000,2.3200,4.4290,57.2000,129.8800,""
57.10,1004.0000,2.3200,4.4290,57.2000,309.7500,""
57.47,1004.0000,2.3200,4.4290,57.2000,454.0600,""
57.82,1004.0000,2.3200,4.4290,58.1000,634.1900,""
58.17,1010.0000,2.3200,4.4290,58.1000,634.1900,""
58.51,1010.0000,2.3200,4.4290,58.1000,93.8800,""
58.86,1004.0000,2.3200,4.4290,58.4000,129.7500,""
59.21,1004.0000,2.3200,4.4290,58.4000,309.7500,""
59.54,1004.0000,2.3200,4.4290,58.5000,309.7500,""
59.89,1004.0000,2.3200,4.4290,59.0000,454.0000,""
60.24,1004.0000,2.3200,4.4290,59.0000,561.0600,""
60.61,1004.0000,2.3200,4.4290,58.9000,21.0600,""
61.01,1004.0000,2.3200,4.4290,59.9000,309.7500,""
61.36,1004.0000,2.3600,4.4290,59.9000,454.0000,""
61.73,1004.0000,2.3600,4.4290,61.1000,634.1900,""
62.06,1004.0000,2.3600,4.4290,61.1000,634.1900,""
62.40,1004.0000,2.3600,4.4290,61.1000,94.0000,""
62.75,1004.0000,2.3600,4.4290,62.5000,129.7500,""
63.12,1004.0000,2.3600,4.4290,62.5000,309.7500,""
63.49,1004.0000,2.3600,4.4290,62.5000,634.0600,""
63.84,1004.0000,2.3600,4.4290,64.0000,21.0000,""
64.18,1004.0000,2.3600,4.4290,64.0000,94.0000,""
64.51,1004.0000,2.3600,4.4290,64.0000,129.7500,""
64.85,1004.0000,2.3600,4.4290,64.3000,129.8800,""
65.22,1001.0000,2.3600,4.4290,64.3000,21.3800,""
65.54,1004.0000,2.6000,4.4290,64.4000,634.7500,""
65.92,1017.0000,2.7600,4.4290,64.7000,130.1900,""
66.26,1033.0000,2.8000,4.4290,64.7000,634.7500,""
66.62,1078.0000,2.8800,4.4290,64.7000,310.1900,""
66.99,1170.0000,2.9200,4.4290,64.8000,130.2500,""
67.34,1142.0000,3.0000,4.4290,64.8000,310.1900,""
67.70,1100.0000,3.0400,4.4290,64.7000,310.1900,""
68.11,1084.0000,3.0400,4.4290,65.6000,454.5000,""
68.45,1074.0000,2.9200,4.4290,65.6000,454.5600,""
68.78,1062.0000,2.8800,4.4290,69.4000,561.5600,""
69.10,1065.0000,2.8400,4.4290,69.4000,130.0600,""
69.49,1078.0000,2.8800,4.4290,69.4000,310.2500,""
69.81,1138.0000,2.8800,4.4290,74.5000,310.1900,""
70.21,1126.0000,2.9200,4.4290,74.5000,310.2500,""
70.56,1090.0000,2.9600,4.4290,74.5000,130.2500,""
70.90,1081.0000,2.9200,4.4290,78.2000,454.5000,""
71.23,1074.0000,2.9200,4.4290,78.2000,561.7500,""
71.57,1065.0000,2.8400,4.4290,78.2000,454.5000,""
71.95,1058.0000,2.8400,4.4290,80.3000,130.2500,""
72.30,1052.0000,2.8000,4.4290,80.3000,454.5000,""
72.66,1046.0000,2.7600,4.4290,80.3000,130.5000,""
72.99,1046.0000,2.7200,4.4290,80.3000,310.1900,""
73.34,1042.0000,2.6800,4.4290,80.3000,455.0600,""
73.68,1036.0000,2.6400,4.4290,80.3000,130.2500,""
74.06,1036.0000,2.5600,4.4290,80.3000,454.7500,""
74.46,1036.0000,2.5600,4.4290,80.3000,21.5600,""
74.83,1033.0000,2.5200,4.4290,79.1000,634.5600,""
75.22,1030.0000,2.4800,4.4290,79.1000,634.5600,""
75.58,1026.0000,2.4800,4.4290,79.1000,454.5000,""
75.95,1026.0000,2.4400,4.4290,75.5000,130.1900,""
76.29,1020.0000,2.4400,4.4290,75.5000,454.5000,""
76.67,1020.0000,2.4400,4.4290,75.4000,274.0000,""
77.06,1020.0000,2.4000,4.4290,71.9000,561.5600,""
77.44,1017.0000,2.4000,4.4290,71.9000,454.3800,""
77.79,1017.0000,2.4000,4.4290,69.0000,454.2500,""
78.16,1017.0000,2.4000,4.4290,69.0000,634.5000,""
78.56,1017.0000,2.3600,4.4290,69.0000,130.1900,""
78.93,1014.0000,2.3600,4.4290,67.0000,310.1900,""
79.29,1017.0000,2.6400,4.4290,67.0000,21.5600,""
79.69,1020.0000,2.6800,4.4290,67.0000,130.3800,""
80.05,1020.0000,2.6000,4.4290,65.8000,454.3800,""
80.41,1020.0000,2.6000,4.4290,65.8000,310.1900,""
80.75,1020.0000,2.6400,4.4290,65.0000,454.3800,""
81.12,1017.0000,2.6000,4.4290,65.0000,310.1900,""
81.52,1020.0000,2.6000,4.4290,65.0000,310.0600,""
81.90,1020.0000,2.5200,4.4290,64.3000,21.5000,""
82.30,1020.0000,2.4800,4.4290,64.3000,310.1900,""
82.70,1017.0000,2.4400,4.4290,64.4000,561.3800,""
83.10,1017.0000,2.3600,4.4290,63.4000,454.1900,""
83.44,1017.0000,2.2800,4.4290,63.4000,561.1900,""
83.81,1014.0000,2.2800,4.4290,62.5000,561.2500,""
84.17,1014.0000,2.2800,4.4290,62.5000,634.3800,""
84.54,1010.0000,2.2800,4.4290,62.5000,561.2500,""
84.88,1010.0000,2.2800,4.4290,62.5000,130.0000,""
85.21,1010.0000,2.2800,4.4290,62.5000,454.0600,""
85.55,1004.0000,2.2800,4.4290,62.5000,21.0600,""
85.89,1010.0000,2.2800,4.4290,62.3000,93.8800,""
86.21,1004.0000,2.2800,4.4290,62.3000,21.1900,""
86.54,1004.0000,2.2800,4.4290,62.3000,129.7500,""
86.86,1004.0000,2.3200,4.4290,62.3000,93.8800,""
87.18,1004.0000,2.3200,4.4290,62.3000,129.8800,""
87.53,1004.0000,2.3600,4.4290,62.3000,129.8800,""
87.87,1004.0000,2.3200,4.4290,62.3000,309.7500,""
88.19,1004.0000,2.3600,4.4290,62.3000,309.8800,""
88.53,1004.0000,2.3600,4.4290,62.3000,309.7500,""
88.86,1004.0000,2.3600,4.4290,62.3000,454.0600,""
89.17,1004.0000,2.3600,4.4290,62.3000,309.7500,""
89.47,1004.0000,2.3600,4.4290,62.3000,309.7500,""
89.78,1004.0000,2.3600,4.4290,62.6000,129.8800,""
90.10,1004.0000,2.3600,4.4290,62.6000,129.7500,""
90.38,1004.0000,2.3600,4.4290,62.6000,93.8800,""
90.74,1004.0000,2.3600,4.4290,62.5000,129.8800,""
91.04,1004.0000,2.3600,4.4290,63.1000,129.7500,""
91.36,1004.0000,2.3600,4.4290,63.1000,94.0600,""
91.70,1004.0000,2.3600,4.4290,63.1000,129.7500,""
92.05,1004.0000,2.3600,4.4290,63.4000,130.0000,""
92.37,1004.0000,2.3600,4.4290,63.4000,309.7500,""
92.69,1004.0000,2.3600,4.4290,63.4000,273.2500,""
93.02,1004.0000,2.3600,4.4290,63.6000,129.7500,""
93.36,1004.0000,2.3600,4.4290,63.6000,309.7500,""
93.70,1004.0000,2.3600,4.4290,63.6000,454.0000,""
94.05,1004.0000,2.3600,4.4290,63.9000,454.0000,""
94.37,1004.0000,2.3600,4.4290,63.9000,454.0000,""
94.71,1004.0000,2.3600,4.4290,63.9000,561.1900,""
95.01,1004.0000,2.3600,4.4290,64.0000,454.0000,""
95.36,1004.0000,2.3600,4.4290,64.0000,561.0600,""
95.65,1004.0000,2.4000,4.4290,64.0000,454.0000,""
95.97,1004.0000,2.3600,4.4290,64.1000,454.0000,""
96.30,1004.0000,2.3600,4.4290,64.1000,454.0000,""
96.62,1004.0000,2.4000,4.4290,64.1000,454.0000,""
96.96,1004.0000,2.4000,4.4290,64.4000,561.1900,""
97.30,1004.0000,2.4000,4.4290,64.4000,561.0600,""
97.63,1004.0000,2.4000,4.4290,64.3000,634.0600,""
97.95,1004.0000,2.4000,4.4290,64.6000,634.0600,""
98.27,1004.0000,2.4000,4.4290,64.6000,634.1900,""
98.61,1004.0000,2.4000,4.4290,64.6000,634.0600,""
98.94,1004.0000,2.3600,4.4290,65.1000,21.0000,""
99.28,1004.0000,2.4000,4.4290,65.1000,129.8800,""
99.63,1004.0000,2.4000,4.4290,65.1000,129.8800,""
99.97,1004.0000,2.4000,4.4290,65.7000,309.6900,""
100.32,1004.0000,2.4000,4.4290,65.7000,454.0000,""
100.64,1004.0000,2.4000,4.4290,65.7000,454.0000,""
100.99,1004.0000,2.3600,4.4290,65.7000,634.1900,""
101.34,1004.0000,2.4000,4.4290,65.7000,21.0000,""
101.71,1004.0000,2.4000,4.4290,65.7000,273.3800,""
102.05,1004.0000,2.4000,4.4290,65.7000,309.6900,""
102.42,1004.0000,2.4000,4.4290,65.7000,561.0600,""
102.75,1004.0000,2.4000,4.4290,65.7000,634.1900,""
103.14,1004.0000,2.4000,4.4290,65.8000,129.7500,""
103.47,1004.0000,2.4000,4.4290,65.8000,273.3800,""
103.81,1004.0000,2.4000,4.4290,65.8000,309.7500,""
104.18,1004.0000,2.4000,4.4290,65.8000,561.1900,""
104.50,1004.0000,2.4000,4.4290,65.8000,561.1900,""
104.82,1004.0000,2.4000,4.4290,65.8000,454.0000,""
105.14,1004.0000,2.4000,4.4290,65.8000,561.0600,""
105.47,1004.0000,2.4000,4.4290,65.8000,561.1900,""
105.84,1004.0000,2.4000,4.4290,66.0000,129.8800,""
106.19,1004.0000,2.4000,4.4290,66.0000,273.3800,""
106.58,1004.0000,2.4000,4.4290,66.0000,454.0000,""
106.91,1004.0000,2.4000,4.4290,66.2000,634.0600,""
107.30,1004.0000,2.4000,4.4290,66.2000,129.7500,""
107.65,1004.0000,2.4000,4.4290,66.2000,129.8800,""
108.02,1004.0000,2.4000,4.4290,66.3000,454.0000,""
108.40,1004.0000,2.4000,4.4290,66.3000,93.8800,""
108.74,1004.0000,2.4000,4.4290,66.3000,129.7500,""
109.06,1004.0000,2.4000,4.4290,66.4000,130.0000,""
109.41,1004.0000,2.4000,4.4290,66.4000,309.7500,""
109.78,1004.0000,2.4000,4.4290,66.4000,561.0600,""
110.11,1004.0000,2.4000,4.4290,66.4000,634.0600,""
110.51,1004.0000,2.4000,4.4290,66.4000,129.7500,""
110.85,1004.0000,2.4400,4.4290,66.4000,309.7500,""
111.18,1004.0000,2.4400,4.4290,66.4000,454.0600,""
111.55,1004.0000,2.4400,4.4290,66.4000,634.0600,""
111.87,1004.0000,2.4000,4.4290,66.4000,634.0600,""
112.24,1004.0000,2.4000,4.4290,66.4000,129.7500,""
112.58,1004.0000,2.4000,4.4290,66.4000,129.8800,""
112.96,1004.0000,2.4000,4.4290,66.5000,454.0600,""
113.31,1004.0000,2.4000,4.4290,66.5000,634.0600,""
113.68,1004.0000,2.4000,4.4290,66.5000,93.8800,""
